date,calendar,heuristic,ml_model
2024-10-20,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-21,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-22,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-23,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-24,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-25,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-26,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-27,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-28,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-29,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-30,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-31,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-01,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-02,OCCUPIED,OCCUPIED,OCCUPIED
2024-11-03,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-04,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-05,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-06,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-07,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-08,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-09,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-10,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-11,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-12,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-13,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-14,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-15,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-16,OCCUPIED,OCCUPIED,OCCUPIED
2024-11-17,OCCUPIED,OCCUPIED,OCCUPIED
2024-11-18,OCCUPIED,OCCUPIED,OCCUPIED
2024-11-19,OCCUPIED,OCCUPIED,OCCUPIED
2024-11-20,OCCUPIED,OCCUPIED,OCCUPIED
2024-11-21,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-22,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-23,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-24,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-25,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-26,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-27,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-28,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-29,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-11-30,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-01,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-02,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-03,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-04,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-05,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-06,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-07,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-08,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-09,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-10,OCCUPIED,OCCUPIED,OCCUPIED
2024-12-11,OCCUPIED,OCCUPIED,OCCUPIED
2024-12-12,OCCUPIED,OCCUPIED,OCCUPIED
2024-12-13,OCCUPIED,OCCUPIED,OCCUPIED
2024-12-14,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-15,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-16,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-17,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-18,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-19,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-20,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-21,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-22,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-23,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-24,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-25,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-12-26,OCCUPIED,OCCUPIED,OCCUPIED
2024-12-27,OCCUPIED,OCCUPIED,OCCUPIED
2024-12-28,OCCUPIED,OCCUPIED,OCCUPIED
2024-12-29,OCCUPIED,OCCUPIED,OCCUPIED
2024-12-30,OCCUPIED,OCCUPIED,OCCUPIED
